case_id,argmax_foreground_mean_dice,rankseg_foreground_mean_dice,argmax_foreground_mean_iou,rankseg_foreground_mean_iou,delta_dice,delta_iou,cluster_id
Fluo-C3DH-A549-SIM__01__t011,0.966469793953637,0.9664114112566605,0.9351151889897278,0.935005883174122,-5.838269697644449e-05,-0.00010930581560575359,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t012,0.9667628245327982,0.9667325118364531,0.9356639961155621,0.9356072100503733,-3.031269634501399e-05,-5.678606518877416e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t013,0.9685699869654796,0.9685624494171808,0.9390554615682518,0.939041291321893,-7.5375482987416476e-06,-1.4170246358857774e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t014,0.9666159567275185,0.966565606414333,0.9353888934325673,0.9352945986834035,-5.0350313185565376e-05,-9.429474916378133e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t015,0.9663654032009685,0.9663675463282536,0.9349197542280583,0.9349237660789874,2.14312728508137e-06,4.011850929130922e-06,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t016,0.9661943902517031,0.9661347574429983,0.9345996782576413,0.9344880915558305,-5.9632808704801477e-05,-0.00011158670181088404,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t017,0.966778873557532,0.9667068134893324,0.9356940627862437,0.9355590708517193,-7.206006819959754e-05,-0.00013499193452437552,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t018,0.9661112070454153,0.9660493827160493,0.9344440268904756,0.9343283582089552,-6.182432936596705e-05,-0.00011566868152035337,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t019,0.9665501203585705,0.9664869574688232,0.9352655986509275,0.9351473253804324,-6.316288974728135e-05,-0.00011827327049507286,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t020,0.9656627493850779,0.9656650014757163,0.9336053098841633,0.9336095199847816,2.2520906384215778e-06,4.210100618240453e-06,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t021,0.964309970860811,0.9643115346697338,0.9310797089185987,0.9310826246985658,1.5638089227998364e-06,2.915779967138654e-06,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t022,0.9648984074684239,0.9648477394274168,0.9321774929439977,0.9320829178247863,-5.066804100717359e-05,-9.457511921140416e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t023,0.9621616858153138,0.9621510872199335,0.9270824488409612,0.9270627693222102,-1.0598595380328923e-05,-1.9679518751036795e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t024,0.9618558409279204,0.9618354339493422,0.9265147162101769,0.9264768471229146,-2.0406978578191293e-05,-3.786908726233218e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t025,0.9600682707333562,0.9601028459969856,0.9232031716258846,0.9232671156961377,3.457526362937724e-05,6.39440702531191e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t026,0.957995168275386,0.9580095736390961,0.9193768964485661,0.9194034315506079,1.4405363710112695e-05,2.653510204175813e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t027,0.960038484773902,0.959984785940419,0.9231480883840014,0.9230487909818432,-5.3698833482940245e-05,-9.929740215819383e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t028,0.9576459194360297,0.9576056480762085,0.9187337942955921,0.9186596668611057,-4.0271359821208996e-05,-7.412743448642622e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t029,0.9575394726476778,0.957519833455241,0.9185378702824079,0.9185017271157168,-1.9639192436748942e-05,-3.614316669109385e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__02__t000,0.9419612822529446,0.9419946561558432,0.8902899926561465,0.8903496202894398,3.3373902898592434e-05,5.962763329325771e-05,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t001,0.936941489112839,0.9370281319873888,0.8813639884515175,0.8815173384967435,8.664287454973607e-05,0.00015335004522598616,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t002,0.9312580348943985,0.9314288861554278,0.8713590981733198,0.8716583052711154,0.00017085126102933668,0.0002992070977956285,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t003,0.9267994600707745,0.9269346852802524,0.8635846010028044,0.8638194456246495,0.00013522520947784056,0.00023484462184508725,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t004,0.9223220704529116,0.9225475486716918,0.8558420332877489,0.8562304049096124,0.00022547821878016183,0.0003883716218635591,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t005,0.9165178571428572,0.9166703860745369,0.8459002884219201,0.8461601845748187,0.00015252893167971848,0.0002598961528985644,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t006,0.912923694921882,0.9131211187021917,0.8397972531066056,0.8401314391276627,0.00019742378030973562,0.0003341860210571701,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t007,0.9110228331370516,0.9112122436787264,0.8365857989120785,0.8369052998515267,0.0001894105416748726,0.000319500939448214,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t008,0.9082334481105349,0.9084317399450956,0.8318934542725284,0.8322262319164564,0.00019829183456077093,0.00033277764392802833,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t009,0.9065362939291576,0.9067629621270649,0.8290501905972045,0.8294294198916962,0.0002266681979072871,0.00037922929449163423,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t010,0.9024676445211389,0.9026542565580064,0.8222697399452847,0.8225796308524354,0.00018661203686742844,0.00030989090715061174,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t011,0.8998548621190131,0.8999785343236165,0.8179419525065963,0.8181463384173471,0.00012367220460340889,0.00020438591075078172,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t012,0.8980185483043017,0.8986320109439124,0.8149125803546474,0.815923487765495,0.0006134626396107068,0.001010907410847528,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t013,0.8932387076938844,0.8936555220772127,0.8070744015926663,0.8077552154055055,0.0004168143833283011,0.0006808138128392427,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t014,0.8951136536736456,0.895496379508696,0.8101409313725491,0.8107681703300912,0.00038272583505039037,0.0006272389575421311,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t015,0.893160082457504,0.8936601345817748,0.8069460346538432,0.8077627522207638,0.0005000521242708444,0.0008167175669205884,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t016,0.8903812897701516,0.8910196719936244,0.8024209411408685,0.8034585010136464,0.0006383822234727887,0.0010375598727778712,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t017,0.886948229566614,0.8874584092695079,0.7968616133832349,0.7976856026450255,0.0005101797028939092,0.0008239892617906142,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t018,0.8862085383272497,0.8866349444861842,0.7956682815616984,0.7963560020994227,0.0004264061589345225,0.0006877205377242568,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t019,0.8825839518088329,0.8833110237202457,0.7898436336559941,0.7910089939841563,0.0007270719114128577,0.0011653603281621683,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t020,0.8815419667060251,0.8823949628694366,0.78817616796027,0.789540968010465,0.0008529961634115013,0.0013648000501950142,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t021,0.8795128892418677,0.8801831889425302,0.7849379799173065,0.7860064077010527,0.0006702997006625688,0.001068427783746162,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t022,0.8789081517299425,0.8793264116245124,0.7839751516222104,0.784640970167925,0.00041825989456989454,0.0006658185457145693,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t023,0.8748795889971102,0.8753948927208108,0.7775875190258752,0.7784020249016079,0.0005153037237006775,0.0008145058757327295,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t024,0.877099098803329,0.8775590551181103,0.781101073005292,0.781830936513504,0.0004599563147812402,0.0007298635082120253,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t025,0.8791549711921998,0.8796627407237295,0.7843679978911295,0.7851767255263697,0.0005077695315297559,0.0008087276352402029,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t026,0.8735707499262851,0.8742061153669874,0.7755220755046245,0.7765241287058173,0.0006353654407023068,0.001002053201192843,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t027,0.8720087493062584,0.8724988784208165,0.773063398115856,0.7738341556581251,0.0004901291145581466,0.0007707575422690738,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t028,0.8693126657148684,0.8697148075072969,0.7688355917283577,0.7694649220249001,0.0004021417924284787,0.0006293302965424408,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549-SIM__02__t029,0.8736927971286402,0.8741878418808644,0.775714471949824,0.7764952932657495,0.0004950447522241719,0.0007808213159254951,Fluo-C3DH-A549-SIM__02
Fluo-C3DH-A549__01__t000,0.9604068438716054,0.9604232136240755,0.9238295175473342,0.923859811233582,1.6369752470102306e-05,3.029368624773987e-05,Fluo-C3DH-A549__01
Fluo-C3DH-A549__01__t002,0.9662026460905634,0.9661053198021373,0.9346151278456506,0.9344330117041011,-9.73262884260695e-05,-0.00018211614154950428,Fluo-C3DH-A549__01
Fluo-C3DH-A549__01__t006,0.9715679195673201,0.9714573630743253,0.9447079083322294,0.9444988746193566,-0.00011055649299485104,-0.00020903371287284145,Fluo-C3DH-A549__01
Fluo-C3DH-A549__01__t008,0.9681069818746341,0.9681437614866245,0.9381854173540086,0.9382545022758757,3.6779611990445105e-05,6.908492186707971e-05,Fluo-C3DH-A549__01
Fluo-C3DH-A549__01__t012,0.9677118800824844,0.9676624070345564,0.9374435890629148,0.9373507403279733,-4.947304792801699e-05,-9.284873494153079e-05,Fluo-C3DH-A549__01
Fluo-C3DH-A549__01__t013,0.9656767799823421,0.9657508004707042,0.9336315392453979,0.9337699278957465,7.402048836202546e-05,0.0001383886503486531,Fluo-C3DH-A549__01
Fluo-C3DH-A549__01__t014,0.9624320107939452,0.9623458004327423,0.9275845253576073,0.9274243778265227,-8.62103612029319e-05,-0.0001601475310846201,Fluo-C3DH-A549__01
