case_id,argmax_foreground_mean_dice,rankseg_foreground_mean_dice,argmax_foreground_mean_iou,rankseg_foreground_mean_iou,delta_dice,delta_iou,cluster_id
patient024_frame09,0.9289018438315462,0.9278625239443467,0.8677641548227313,0.8660210649431597,-0.001039319887199519,-0.0017430898795716132,patient024
patient025_frame01,0.9089851352005525,0.9110242797664131,0.8354230929110047,0.8386988418136067,0.002039144565860629,0.0032757489026019604,patient025
patient025_frame09,0.8602483277528918,0.8487776974320681,0.7579532650378807,0.7401920972889662,-0.011470630320823738,-0.017761167748914564,patient025
patient026_frame01,0.9408365500641658,0.9411171591224549,0.8888343710584395,0.8893270010911848,0.000280609058289083,0.0004926300327452449,patient026
patient026_frame12,0.8791851198602533,0.8785240821411512,0.7847946737789622,0.7837314590044571,-0.0006610377191020866,-0.0010632147745051057,patient026
patient027_frame01,0.9300194218622027,0.9314375477768833,0.8694963726281556,0.872026471962711,0.0014181259146806013,0.0025300993345553913,patient027
patient027_frame11,0.8729163249205909,0.8750795058157617,0.7767823670108509,0.7803708661711676,0.0021631808951707576,0.0035884991603166716,patient027
patient028_frame01,0.9387876343153937,0.9382720597877795,0.8849501675159822,0.8840529552487663,-0.0005155745276141932,-0.0008972122672159522,patient028
patient028_frame09,0.8991824003820855,0.8990044247749612,0.8173115990827995,0.8170142997742484,-0.00017797560712429217,-0.0002972993085510467,patient028
patient029_frame01,0.9476269448959492,0.9484012621077497,0.900634790234705,0.9020283278035744,0.0007743172118004349,0.0013935375688693963,patient029
patient029_frame12,0.8450487881957499,0.8486210715162251,0.7426913993047716,0.7482660873722055,0.0035722833204752114,0.005574688067433886,patient029
patient030_frame01,0.9144983655457848,0.914075461926847,0.8425246593791432,0.8417942499997149,-0.0004229036189378199,-0.000730409379428365,patient030
patient030_frame12,0.795794775797891,0.7789214016029241,0.6812131293908571,0.6634631918128161,-0.016873374194966928,-0.017749937578040997,patient030
patient031_frame01,0.943876671264075,0.9438432364395982,0.8948051259707649,0.894719704760532,-3.3434824476819e-05,-8.54212102329166e-05,patient031
